MAIN_ID;OBJECT;PLATE_N;NAXIS1;NAXIS2;YEAR;SPECTRO;NOISY;LETTERS;ABSENT;OVERLAP
HD 166734;HD 166734;A4451;1382;2952;1976;4;T;T;F;F
* bet01 Mon;Beta Mon A;A4452;1233;2952;1976;3;T;F;F;T
* bet01 Mon;Beta Mon A;A4453;1364;2880;1976;3;T;T;F;T
NGC  2346;NGC 2346;A4505;1065;2736;1976;2;F;F;F;T
HD  93162;HD 93162;A4514;1420;2808;1976;3;T;F;F;T
* tet Mus A;Teta Mus A;A4516;505;2844;1976;1;F;F;T;T
HD  93162;HD 93162;A4518;1140;2880;1976;3;T;F;F;T
* gam02 Vel;Gamma2 Vel;A4520;1233;2844;1976;3;F;T;T;F
NGC  1360;NGC 1360;A4521;561;2808;1976;1;F;F;F;F
HD  62910;Hd 62910;A4522;1102;2844;1976;3;T;F;F;F
* tet Mus A;Teta Mus A;A4524;990;2808;1976;2;F;T;F;F
HD 166734;HD 166734;A4762;635;2844;1977;1;F;F;F;F
HD 136488;HD 136488;C1239;710;5004;1970;1;F;F;T;F
HD  90657;HD 90657;C1247;785;5040;1970;1;F;F;T;F
HD 143414;HD 143414;C1252;785;5040;1970;1;F;F;T;F
HD  92809;HD 92809;C1263;803;5184;1970;1;F;F;T;F
HD  92740;HD 92740;C1264;1905;6084;1970;3;F;T;T;T
HD 136488;HD 136488;C1265;1643;6660;1970;2;F;T;T;F
HD 115473;HD 115473;C1266;766;5184;1970;1;F;F;T;F
HD 138403;HD 138403;C1271;784;5148;1970;1;F;F;T;F
HD 156385;HD 156385;C1273;1774;6408;1970;2;F;T;T;F
HD  92740;HD 92740;C1280;1979;6300;1970;3;F;T;T;F
HD 104994;HD 104994;C1281;1700;6120;1970;2;F;T;T;F
HD 117688;HD 117688;C1282;1532;6732;1970;2;F;T;T;F
HD 143414;HD 143414;C1283;860;5292;1970;1;F;F;T;F
HD 156385;HD 156385;C1287;1774;6588;1970;2;F;T;T;F
HD 141969;HD 141969;C1293;1905;5220;1970;3;F;F;T;F
HD 152270;HD 152270;C3266;1979;5328;1973;4;F;T;T;T
*  29 Psc;29 Psc;C3267;1830;5328;1973;4;T;T;F;T
*   6 Cet;HD 693;C3269;766;4968;1973;1;F;F;T;F
NGC  1360;NGC 1360;C4736;1681;5436;1976;3;T;T;F;F
* tet Mus A;theta Mus A;C4739;748;5400;1976;1;F;F;T;F
NGC  1360;NGC 1360;C4740;1028;5436;1976;2;F;T;F;F
HD  62910;HD 62910;C4741;1774;5544;1976;4;F;T;F;F
* tet Mus A;theta Mus A;C4743;635;5400;1976;1;F;F;F;F
NGC  1360;NGC 1360;C4744;636;5400;1976;1;F;F;F;F
* tet Ori;theta OriC;C4745;1774;5328;1976;4;F;T;F;T
HD  62910;HD 62910;C4746;1737;5400;1976;3;F;F;F;F
HD  92740;HD 92740;C4746;1737;5400;1976;3;F;T;F;F
HD  92740;HD 92740;C4747;1774;5364;1976;4;F;T;F;F
HD  90657;HD 90657;C4748;1588;5400;1976;3;F;T;F;F
* tet Mus;theta musA;C4749;672;5400;1976;1;F;F;T;F
NGC  1360;NGC 1360;C4750;617;5436;1976;1;T;F;F;F
* tet Ori;theta OriC;C4751;990;5436;1976;2;F;T;F;F
* gam02 Vel;gamma2 Vel;C4753;1886;5400;1976;4;F;T;F;F
HD  62910;HD 62910;C4754;1849;5436;1976;4;F;T;F;F
HD  92740;HD 92740;C4755;1382;5364;1976;3;F;T;F;F
* tet Mus;theta MusA;C4756;1252;5400;1976;2;F;T;T;F
* tet Ori;theta OriC;C4757;1419;5400;1977;2;T;F;T;F
* tet Ori;theta OriC;C4758;1102;5400;1977;2;F;T;F;F
HD  62910;HD 62910;C4759;1457;5400;1977;3;F;T;F;F
* tet Mus;theta MusA;C4761;616;5364;1977;1;F;F;F;F
HD 104994;HD 104994;C4804;1849;5328;1977;4;F;F;T;F
* tet Mus;theta MusA;C4806;1009;5328;1977;2;T;F;F;F
HD  62910;HD 62910;C4808;1569;5256;1977;3;F;F;F;F
HD  92740;HD 92740;C4810;1793;5436;1977;4;F;F;F;F
HD 104994;HD 104994;C4813;1102;5292;1977;2;T;F;F;F
* tet Ori;theta OriC;C4815;1512;4608;1977;3;F;F;T;F
HD  62910;HD 62910;C4818;990;5328;1977;2;F;F;T;F
* gam01 Vel;gamma1 Vel;C4819;1494;5508;1977;3;T;F;F;F
HD  92740;HD 92740;C4821;1811;5508;1977;4;T;F;F;F
* gam02 Vel;gamma2 Vel;C4823;1438;4464;1977;3;F;F;F;F
HD  97152;HD 97152;C4824;1158;5292;1977;2;T;F;T;F
HD 166734;HD 166734;C4851;1345;5472;1977;2;T;F;T;F
NGC   246;NGC 246;C4852;654;5472;1977;1;F;F;T;F
* tet Mus;theta Mus;C4853;1084;5508;1977;2;T;F;F;F
* tet Mus;theta Mus;C4854;1345;4968;1977;2;T;T;T;F
HD 152270;HD 152270;C4856;617;5472;1977;1;F;F;F;F
HD 168206;HD 168206;C4857;1438;5472;1977;3;F;T;F;F
HD 166734;HD 166734;C4858;1774;5544;1977;4;F;T;F;F
NGC  2346;NGC 2346;C5254;616;5328;1980;1;F;F;F;F
